seed,episode,cluster_id,suite,task_id,spec_uid,episode_seed,initial_state_id,perturbation_width,observation_noise_seed,cold_start,system_success,habit_success,full_vla_success,difference,habit_steps,full_vla_steps,state_before,tau_k
0,404,libero_goal_task7,libero_goal,7,3d4c4d79c55b3140,70404,4,0.01,6000404,False,1,1,1,0,73,75,M,0.8
0,430,libero_goal_task7,libero_goal,7,79e70c082fe69e0c,70430,30,0.01,6000430,False,1,1,1,0,73,71,M,0.8
0,451,libero_goal_task7,libero_goal,7,e9067f0e09916714,70451,11,0.01,6000451,False,1,1,1,0,76,73,M,0.8
0,466,libero_object_task7,libero_object,7,962d694f036a7e15,70466,26,0.01,6000466,False,1,1,1,0,120,168,M,0.8
0,472,libero_object_task3,libero_object,3,75bc6d7baff5198c,70472,32,0.01,6000472,False,1,1,1,0,117,121,M,0.8
0,473,libero_object_task7,libero_object,7,add55d6c697dca6e,70473,33,0.01,6000473,False,0,0,1,-1,280,126,M,0.816
0,487,libero_object_task3,libero_object,3,24ce151dbe74a543,70487,7,0.01,6000487,False,1,1,1,0,117,116,M,0.8
0,492,libero_goal_task4,libero_goal,4,a48ba36353dc42e6,70492,12,0.01,6000492,False,1,1,1,0,84,90,M,0.8
0,495,libero_object_task3,libero_object,3,10b8e2fa460a8c17,70495,15,0.01,6000495,False,1,1,1,0,119,128,M,0.8
0,499,libero_object_task3,libero_object,3,5963012c938c5b06,70499,19,0.01,6000499,False,1,1,0,1,127,280,M,0.8
0,508,libero_object_task4,libero_object,4,d64cd68d9eb51376,70508,28,0.01,6000508,False,1,1,1,0,127,131,M,0.8
0,509,libero_spatial_task0,libero_spatial,0,a4ea120211adbfb3,70509,29,0.01,6000509,False,1,1,1,0,75,76,M,0.8
0,514,libero_object_task4,libero_object,4,4a56cc3aefaa77d5,70514,34,0.01,6000514,False,1,1,1,0,135,142,M,0.8
0,516,libero_object_task4,libero_object,4,1c1be29caf2ef94e,70516,36,0.01,6000516,False,1,1,1,0,127,131,M,0.8
0,522,libero_goal_task2,libero_goal,2,36a3251f8c5b73ae,70522,2,0.01,6000522,False,1,1,1,0,99,94,M,0.8
0,527,libero_goal_task4,libero_goal,4,35403d38ffb9b65d,70527,7,0.01,6000527,False,1,1,1,0,86,94,M,0.8
